訂單編號,日期,門市,城市,產品,類別,單價,數量,金額,付款方式,會員編號
ORD-22367,2026-05-17,信義旗艦店,台北,蜂蜜柚子茶,非咖啡飲品,95,1,95,現金,
ORD-22257,2026-05-15,高雄夢時代店,高雄,可頌,甜點,65,1,65,現金,
ORD-12415,2026-01-27,公館店,台北,美式咖啡,咖啡,75,1,75,行動支付,
ORD-13525,2026-02-08,板橋車站店,新北,冷萃咖啡,咖啡,140,3,420,信用卡,
ORD-20302,2026-04-23,高雄夢時代店,高雄,肉桂捲,甜點,85,2,170,信用卡,M0458
ORD-12676,2026-01-30,竹北高鐵店,新竹,卡布奇諾,咖啡,110,1,110,信用卡,
ORD-17089,2026-03-19,高雄夢時代店,高雄,拿鐵,咖啡,110,2,220,行動支付,M0016
ORD-14592,2026-02-20,信義旗艦店,台北,冷萃咖啡,咖啡,140,2,280,LINE Pay,
ORD-10501,2026-01-06,板橋車站店,新北,抹茶拿鐵,非咖啡飲品,120,2,240,信用卡,M0420
ORD-22945,2026-05-23,板橋車站店,新北,拿鐵,咖啡,110,1,110,行動支付,
ORD-17132,2026-03-20,公館店,台北,美式咖啡,咖啡,75,1,75,行動支付,
ORD-25529,2026-06-21,板橋車站店,新北,拿鐵,咖啡,110,1,110,行動支付,
ORD-13799,2026-02-11,竹北高鐵店,新竹,可頌,甜點,65,2,130,信用卡,
ORD-20855,2026-04-30,信義旗艦店,台北,卡布奇諾,咖啡,110,2,220,信用卡,M0267
ORD-19266,2026-04-12,公館店,臺北,拿鐵,咖啡,110,1,110,行動支付,M0251
ORD-13731,2026-02-10,台中西屯店,台中,巴斯克起司蛋糕,甜點,120,1,120,LINE Pay,
ORD-14889,2026-02-23,板橋車站店,新北,拿鐵,咖啡,110,1,110,行動支付,
ORD-24388,2026-06-08,公館店,台北,拿鐵,咖啡,110,1,110,信用卡,M0466
ORD-14791,2026-02-22,公館店,台北,拿鐵,咖啡,110,1,110,信用卡,
ORD-18992,2026-04-09,台中西屯店,台中,可頌,甜點,65,1,65,LINE Pay,M0118
ORD-16783,2026-03-16,公館店,台北,拿鐵,咖啡,110,1,110,LINE Pay,M0207
ORD-12874,2026-02-01,信義旗艦店,台北,拿鐵,咖啡,110,1,110,行動支付,
ORD-17483,2026-03-24,信義旗艦店,台北,美式咖啡,咖啡,75,3,225,信用卡,M0230
ORD-12641,2026-01-30,信義旗艦店,台北,美式咖啡,咖啡,75,1,75,行動支付,M0370
ORD-14362,2026-02-17,板橋車站店,新北,巴斯克起司蛋糕,甜點,120,1,120,行動支付,M0317
ORD-11598,2026-01-18,公館店,台北,卡布奇諾,咖啡,110,1,110,行動支付,
ORD-11891,2026-01-21,高雄夢時代店,高雄,拿鐵,咖啡,110,1,110,信用卡,
ORD-23944,2026-06-03,台中西屯店,台中,抹茶拿鐵,非咖啡飲品,120,1,120,行動支付,
ORD-10290,2026-01-04,公館店,台北,焦糖瑪奇朵,咖啡,130,1,130,行動支付,
ORD-14895,2026-02-23,竹北高鐵店,新竹,美式咖啡,咖啡,75,1,75,現金,
ORD-18041,2026-03-29,高雄夢時代店,高雄,拿鐵,咖啡,110,2,220,信用卡,M0031
ORD-19728,2026-04-17,高雄夢時代店,高雄,巴斯克起司蛋糕,甜點,120,2,240,現金,M0303
ORD-12201,2026-01-25,信義旗艦店,台北,蜂蜜柚子茶,非咖啡飲品,95,1,95,信用卡,
ORD-16997,2026-03-18,高雄夢時代店,高雄,肉桂捲,甜點,85,1,85,信用卡,M0169
ORD-19861,2026-04-19,信義旗艦店,台北,抹茶拿鐵,非咖啡飲品,120,1,120,信用卡,
ORD-21886,2026-05-11,公館店,台北,蜂蜜柚子茶,非咖啡飲品,95,2,190,現金,
ORD-20961,2026-05-01,公館店,台北,可頌,甜點,65,3,195,行動支付,
ORD-18454,2026-04-03,竹北高鐵店,新竹,拿鐵,咖啡,110,2,220,現金,M0248
ORD-24178,2026-06-06,公館店,台北,拿鐵,咖啡,110,1,110,信用卡,
ORD-11201,2026-01-13,高雄夢時代店,高雄,拿鐵,咖啡,110,1,110,信用卡,
ORD-17841,2026-03-28,信義旗艦店,台北,美式咖啡,咖啡,75,1,75,行動支付,M0023
ORD-13815,2026-02-11,台中西屯店,台中,蜂蜜柚子茶,非咖啡飲品,95,1,95,行動支付,
ORD-12482,2026-01-28,信義旗艦店,台北,拿鐵,咖啡,110,2,220,行動支付,M0107
ORD-20902,2026-04-30,台中西屯店,台中,焦糖瑪奇朵,咖啡,130,2,260,LINE Pay,
ORD-23805,2026-06-01,高雄夢時代店,高雄,抹茶拿鐵,非咖啡飲品,120,1,120,信用卡,M0475
ORD-13876,2026-02-12,板橋車站店,新北,卡布奇諾,咖啡,110,1,110,行動支付,
ORD-10744,2026-01-09,信義旗艦店,台北,抹茶拿鐵,非咖啡飲品,120,1,120,信用卡,
ORD-20324,2026-04-24,信義旗艦店,台北,拿鐵,咖啡,110,3,330,信用卡,M0228
ORD-18758,2026-04-06,台中西屯店,台中,焦糖瑪奇朵,咖啡,130,2,260,行動支付,
ORD-21040,2026-05-02,公館店,台北,卡布奇諾,咖啡,110,1,110,信用卡,
ORD-17993,2026-03-29,板橋車站店,新北,美式咖啡,咖啡,75,2,150,現金,M0103
ORD-11516,2026-01-17,竹北高鐵店,新竹,美式咖啡,咖啡,75,1,75,LINE Pay,
ORD-17017,2026-03-19,信義旗艦店,台北,卡布奇諾,咖啡,110,2,220,現金,M0362
ORD-14981,2026-02-24,台中西屯店,台中,巴斯克起司蛋糕,甜點,120,1,120,行動支付,
ORD-22422,2026-05-17,台中西屯店,台中,美式咖啡,咖啡,75,1,75,LINE Pay,
ORD-11979,2026-01-22,高雄夢時代店,高雄市,可頌,甜點,65,1,65,LINE Pay,
ORD-20202,2026-04-22,台中西屯店,台中,美式咖啡,咖啡,75,1,75,LINE Pay,M0058
ORD-13341,2026-02-06,板橋車站店,新北,拿鐵,咖啡,110,2,220,現金,M0195
ORD-14480,2026-02-19,信義旗艦店,台北,蜂蜜柚子茶,非咖啡飲品,95,3,285,信用卡,
ORD-22550,2026-05-19,信義旗艦店,台北,美式咖啡,咖啡,75,1,75,LINE Pay,
ORD-20871,2026-04-30,信義旗艦店,台北,蜂蜜柚子茶,非咖啡飲品,95,1,95,信用卡,M0226
ORD-24962,2026-06-14,高雄夢時代店,高雄,拿鐵,咖啡,110,3,330,行動支付,
ORD-24259,2026-06-07,信義旗艦店,台北,美式咖啡,咖啡,75,2,150,行動支付,
ORD-10783,2026-01-09,竹北高鐵店,新竹,美式咖啡,咖啡,75,2,150,行動支付,M0117
ORD-25742,2026-06-23,高雄夢時代店,高雄,冷萃咖啡,咖啡,140,1,140,現金,M0432
ORD-13009,2026-02-02,竹北高鐵店,新竹,拿鐵,咖啡,110,2,220,行動支付,M0238
ORD-14052,2026-02-14,公館店,台北,拿鐵,咖啡,110,2,220,信用卡,
ORD-14152,2026-02-15,信義旗艦店,台北,拿鐵,咖啡,110,1,110,行動支付,M0115
ORD-19288,2026-04-12,竹北高鐵店,新竹,巴斯克起司蛋糕,甜點,120,1,120,LINE Pay,
ORD-17792,2026-03-27,板橋車站店,新北,冷萃咖啡,咖啡,140,1,140,現金,
ORD-24378,2026-06-08,信義旗艦店,台北,美式咖啡,咖啡,75,1,75,信用卡,
ORD-23621,2026-05-30,高雄夢時代店,高雄,美式咖啡,咖啡,75,1,75,信用卡,
ORD-12257,2026-01-25,台中西屯店,台中,卡布奇諾,咖啡,110,2,220,行動支付,M0065
ORD-23848,2026-06-02,板橋車站店,新北,拿鐵,咖啡,110,1,110,信用卡,
ORD-11818,2026-01-20,高雄夢時代店,高雄,美式咖啡,咖啡,75,1,75,信用卡,
ORD-19190,2026-04-11,竹北高鐵店,新竹,拿鐵,咖啡,110,1,110,行動支付,
ORD-22112,2026-05-14,信義旗艦店,台北,抹茶拿鐵,非咖啡飲品,120,1,120,現金,M0162
ORD-12145,2026-01-24,台中西屯店,台中,肉桂捲,甜點,85,1,85,行動支付,
ORD-20265,2026-04-23,竹北高鐵店,新竹,卡布奇諾,咖啡,110,1,110,現金,M0097
ORD-13269,2026-02-05,台中西屯店,台中,美式咖啡,咖啡,75,1,75,信用卡,M0205
ORD-17533,2026-03-24,台中西屯店,台中,抹茶拿鐵,非咖啡飲品,120,1,120,信用卡,
ORD-14381,2026-02-17,竹北高鐵店,新竹,卡布奇諾,咖啡,110,1,110,信用卡,
ORD-15295,2026-02-28,竹北高鐵店,新竹,肉桂捲,甜點,85,1,85,行動支付,M0446
ORD-25229,2026-06-18,信義旗艦店,臺北,美式咖啡,咖啡,75,1,75,LINE Pay,M0313
ORD-14943,2026-02-24,信義旗艦店,台北,抹茶拿鐵,非咖啡飲品,120,1,120,行動支付,
ORD-25081,2026-06-16,公館店,臺北,卡布奇諾,咖啡,110,1,110,行動支付,M0389
ORD-25061,2026-06-16,信義旗艦店,臺北,美式咖啡,咖啡,75,1,75,信用卡,
ORD-11705,2026-01-19,台中西屯店,台中,卡布奇諾,咖啡,110,2,220,信用卡,M0319
ORD-10812,2026-01-10,信義旗艦店,台北,蜂蜜柚子茶,非咖啡飲品,95,1,95,信用卡,M0437
ORD-14633,2026-02-20,高雄夢時代店,高雄,可頌,甜點,65,2,130,信用卡,
ORD-16504,2026-03-13,台中西屯店,台中,抹茶拿鐵,非咖啡飲品,120,1,120,現金,
ORD-20257,2026-04-23,板橋車站店,新北,焦糖瑪奇朵,咖啡,130,1,130,信用卡,M0480
ORD-11820,2026-01-20,高雄夢時代店,高雄,抹茶拿鐵,非咖啡飲品,120,2,240,行動支付,
ORD-14642,2026-02-20,高雄夢時代店,高雄市,美式咖啡,咖啡,75,1,75,LINE Pay,
ORD-23480,2026-05-29,板橋車站店,新北,肉桂捲,甜點,85,1,85,LINE Pay,M0136
ORD-20703,2026-04-28,信義旗艦店,台北,蜂蜜柚子茶,非咖啡飲品,95,1,95,LINE Pay,
ORD-24352,2026-06-07,高雄夢時代店,高雄,肉桂捲,甜點,85,2,170,現金,M0440
ORD-16305,2026-03-11,板橋車站店,新北,卡布奇諾,咖啡,110,2,220,行動支付,
ORD-14838,2026-02-22,高雄夢時代店,高雄,拿鐵,咖啡,110,1,110,LINE Pay,
ORD-17422,2026-03-23,板橋車站店,新北,美式咖啡,咖啡,75,1,75,信用卡,
ORD-17446,2026-03-23,台中西屯店,台中,拿鐵,咖啡,110,1,110,信用卡,M0237
ORD-18156,2026-03-31,信義旗艦店,台北,冷萃咖啡,咖啡,140,2,280,LINE Pay,M0168
ORD-23501,2026-05-29,台中西屯店,台中,冷萃咖啡,咖啡,140,1,140,現金,M0376
ORD-25504,2026-06-21,信義旗艦店,台北,抹茶拿鐵,非咖啡飲品,120,1,120,LINE Pay,
ORD-19157,2026-04-11,公館店,台北,蜂蜜柚子茶,非咖啡飲品,95,1,95,行動支付,
ORD-25132,2026-06-16,高雄夢時代店,高雄,焦糖瑪奇朵,咖啡,130,1,130,行動支付,
ORD-25594,2026-06-22,信義旗艦店,台北,焦糖瑪奇朵,咖啡,130,1,130,信用卡,
ORD-22180,2026-05-15,信義旗艦店,台北,肉桂捲,甜點,85,2,170,LINE Pay,
ORD-23243,2026-05-26,竹北高鐵店,新竹,卡布奇諾,咖啡,110,1,110,行動支付,
ORD-12841,2026-01-31,高雄夢時代店,高雄,可頌,甜點,65,1,65,信用卡,M0377
ORD-22218,2026-05-15,板橋車站店,新北,可頌,甜點,65,2,130,信用卡,M0431
ORD-14646,2026-02-20,高雄夢時代店,高雄,拿鐵,咖啡,110,1,110,信用卡,
ORD-11076,2026-01-12,公館店,台北,抹茶拿鐵,非咖啡飲品,120,2,240,行動支付,
ORD-19864,2026-04-19,信義旗艦店,台北,卡布奇諾,咖啡,110,1,110,行動支付,
ORD-23201,2026-05-26,信義旗艦店,台北,拿鐵,咖啡,110,1,110,現金,M0061
ORD-15255,2026-02-28,信義旗艦店,台北,拿鐵,咖啡,110,1,110,信用卡,M0114
ORD-14345,2026-02-17,信義旗艦店,台北,美式咖啡,咖啡,75,1,75,行動支付,M0119
ORD-21785,2026-05-10,信義旗艦店,台北,美式咖啡,咖啡,75,1,75,行動支付,M0294
ORD-16531,2026-03-14,信義旗艦店,台北,拿鐵,咖啡,110,1,110,行動支付,M0232
ORD-18744,2026-04-06,竹北高鐵店,新竹,冷萃咖啡,咖啡,140,1,140,行動支付,
ORD-15054,2026-02-25,竹北高鐵店,新竹,卡布奇諾,咖啡,110,1,110,現金,
ORD-18014,2026-03-29,竹北高鐵店,新竹,拿鐵,咖啡,110,1,110,信用卡,M0140
ORD-23954,2026-06-03,高雄夢時代店,高雄,卡布奇諾,咖啡,110,2,220,行動支付,
ORD-14893,2026-02-23,竹北高鐵店,新竹,卡布奇諾,咖啡,110,1,110,信用卡,M0214
ORD-23956,2026-06-03,高雄夢時代店,高雄,卡布奇諾,咖啡,110,1,110,行動支付,
ORD-21594,2026-05-08,竹北高鐵店,新竹,可頌,甜點,65,1,65,行動支付,
ORD-13431,2026-02-07,板橋車站店,新北,美式咖啡,咖啡,75,2,150,行動支付,
ORD-16639,2026-03-14,高雄夢時代店,高雄,美式咖啡,咖啡,75,1,75,信用卡,M0315
ORD-15327,2026-02-28,台中西屯店,台中,拿鐵,咖啡,110,1,110,行動支付,
ORD-24794,2026-06-13,公館店,台北,冷萃咖啡,咖啡,140,1,140,現金,M0414
ORD-24650,2026-06-11,板橋車站店,新北,卡布奇諾,咖啡,110,1,110,行動支付,M0317
ORD-23144,2026-05-25,公館店,台北,拿鐵,咖啡,110,3,330,信用卡,M0158
ORD-23352,2026-05-27,高雄夢時代店,高雄,焦糖瑪奇朵,咖啡,130,2,260,LINE Pay,
ORD-10066,2026-01-01,高雄夢時代店,高雄,蜂蜜柚子茶,非咖啡飲品,95,2,190,信用卡,M0373
ORD-21464,2026-05-07,信義旗艦店,臺北,美式咖啡,咖啡,75,2,150,LINE Pay,M0316
ORD-17030,2026-03-19,公館店,台北,焦糖瑪奇朵,咖啡,130,1,130,現金,
ORD-17896,2026-03-28,台中西屯店,台中,可頌,甜點,65,1,65,行動支付,
ORD-26184,2026-06-28,台中西屯店,台中,冷萃咖啡,咖啡,140,1,140,信用卡,
ORD-24680,2026-06-11,高雄夢時代店,高雄,肉桂捲,甜點,85,1,85,LINE Pay,
ORD-10230,2026-01-03,竹北高鐵店,新竹,抹茶拿鐵,非咖啡飲品,120,1,120,信用卡,
ORD-23683,2026-05-31,竹北高鐵店,新竹,美式咖啡,咖啡,75,1,75,現金,
ORD-22638,2026-05-19,高雄夢時代店,高雄,拿鐵,咖啡,110,1,110,信用卡,
ORD-23424,2026-05-28,高雄夢時代店,高雄,冷萃咖啡,咖啡,140,2,280,LINE Pay,
ORD-16479,2026-03-13,板橋車站店,新北,肉桂捲,甜點,85,1,85,LINE Pay,
ORD-19077,2026-04-10,竹北高鐵店,新竹,肉桂捲,甜點,85,2,170,信用卡,M0139
ORD-22742,2026-05-21,信義旗艦店,台北,卡布奇諾,咖啡,110,1,110,行動支付,
ORD-10302,2026-01-04,板橋車站店,新北,拿鐵,咖啡,110,1,110,信用卡,
ORD-15480,2026-03-02,信義旗艦店,台北,美式咖啡,咖啡,75,1,75,LINE Pay,
ORD-12259,2026-01-25,台中西屯店,台中,冷萃咖啡,咖啡,140,1,140,行動支付,M0054
ORD-10583,2026-01-07,竹北高鐵店,新竹,美式咖啡,咖啡,75,1,75,信用卡,
ORD-23330,2026-05-27,台中西屯店,台中,拿鐵,咖啡,110,1,110,現金,
ORD-22248,2026-05-15,高雄夢時代店,高雄,美式咖啡,咖啡,75,1,75,現金,
ORD-15772,2026-03-05,信義旗艦店,台北,美式咖啡,咖啡,75,1,75,行動支付,
ORD-13360,2026-02-06,台中西屯店,台中,蜂蜜柚子茶,非咖啡飲品,95,1,95,LINE Pay,
ORD-10743,2026-01-09,信義旗艦店,台北,卡布奇諾,咖啡,110,1,110,行動支付,
ORD-20725,2026-04-28,竹北高鐵店,新竹,拿鐵,咖啡,110,1,110,行動支付,M0109
ORD-15092,2026-02-26,信義旗艦店,台北,拿鐵,咖啡,110,1,110,LINE Pay,
ORD-11910,2026-01-22,信義旗艦店,臺北,蜂蜜柚子茶,非咖啡飲品,95,1,95,LINE Pay,M0135
ORD-18641,2026-04-05,板橋車站店,新北,拿鐵,咖啡,110,1,110,信用卡,
ORD-24967,2026-06-15,信義旗艦店,台北,拿鐵,咖啡,110,2,220,LINE Pay,
ORD-10092,2026-01-02,信義旗艦店,台北,拿鐵,咖啡,110,1,110,信用卡,
ORD-14055,2026-02-14,公館店,台北,肉桂捲,甜點,85,1,85,行動支付,M0176
ORD-16695,2026-03-15,板橋車站店,新北,美式咖啡,咖啡,75,2,150,LINE Pay,M0096
ORD-20527,2026-04-26,公館店,台北,美式咖啡,咖啡,75,1,75,信用卡,M0187
ORD-22780,2026-05-21,台中西屯店,台中,肉桂捲,甜點,85,1,85,現金,
ORD-23598,2026-05-30,高雄夢時代店,高雄,冷萃咖啡,咖啡,140,2,280,信用卡,M0175
ORD-15299,2026-02-28,竹北高鐵店,新竹,拿鐵,咖啡,110,2,220,LINE Pay,
ORD-16894,2026-03-17,台中西屯店,台中,美式咖啡,咖啡,75,1,75,行動支付,
ORD-17172,2026-03-20,高雄夢時代店,高雄,美式咖啡,咖啡,75,1,75,行動支付,
ORD-17129,2026-03-20,公館店,台北,巴斯克起司蛋糕,甜點,120,1,120,LINE Pay,
ORD-16706,2026-03-15,台中西屯店,台中,冷萃咖啡,咖啡,140,2,280,行動支付,
ORD-18339,2026-04-02,信義旗艦店,台北,美式咖啡,咖啡,75,1,75,LINE Pay,
ORD-16442,2026-03-12,高雄夢時代店,高雄,肉桂捲,甜點,85,1,85,信用卡,M0222
ORD-20241,2026-04-23,信義旗艦店,台北,抹茶拿鐵,非咖啡飲品,120,1,120,現金,
ORD-21128,2026-05-03,信義旗艦店,台北,冷萃咖啡,咖啡,140,1,140,LINE Pay,M0025
ORD-12623,2026-01-29,高雄夢時代店,高雄,拿鐵,咖啡,110,1,110,信用卡,
ORD-16840,2026-03-17,信義旗艦店,臺北,美式咖啡,咖啡,75,1,75,行動支付,
ORD-21326,2026-05-05,信義旗艦店,臺北,冷萃咖啡,咖啡,140,1,140,信用卡,
ORD-13436,2026-02-07,竹北高鐵店,新竹,美式咖啡,咖啡,75,2,150,信用卡,
ORD-15266,2026-02-28,信義旗艦店,台北,肉桂捲,甜點,85,1,85,現金,M0322
ORD-14493,2026-02-19,信義旗艦店,台北,抹茶拿鐵,非咖啡飲品,120,1,120,現金,
ORD-22212,2026-05-15,板橋車站店,新北,焦糖瑪奇朵,咖啡,130,2,260,信用卡,M0081
ORD-17176,2026-03-20,高雄夢時代店,高雄,卡布奇諾,咖啡,110,1,110,行動支付,
ORD-24545,2026-06-10,信義旗艦店,臺北,肉桂捲,甜點,85,2,170,行動支付,
ORD-21519,2026-05-07,台中西屯店,台中,抹茶拿鐵,非咖啡飲品,120,3,360,LINE Pay,
ORD-24145,2026-06-06,信義旗艦店,臺北,卡布奇諾,咖啡,110,1,110,LINE Pay,
ORD-18784,2026-04-07,信義旗艦店,台北,拿鐵,咖啡,110,1,110,行動支付,
ORD-17382,2026-03-22,高雄夢時代店,高雄,美式咖啡,咖啡,75,1,75,LINE Pay,M0256
ORD-25606,2026-06-22,信義旗艦店,臺北,美式咖啡,咖啡,75,2,150,信用卡,M0028
ORD-14207,2026-02-15,台中西屯店,台中,拿鐵,咖啡,110,2,220,LINE Pay,
ORD-24852,2026-06-13,高雄夢時代店,高雄,可頌,甜點,65,1,65,LINE Pay,M0425
ORD-10499,2026-01-06,板橋車站店,新北,抹茶拿鐵,非咖啡飲品,120,1,120,LINE Pay,
ORD-24872,2026-06-14,信義旗艦店,台北,拿鐵,咖啡,110,2,220,LINE Pay,M0329
ORD-16687,2026-03-15,公館店,台北,卡布奇諾,咖啡,110,2,220,行動支付,M0242
ORD-11763,2026-01-20,公館店,台北,美式咖啡,咖啡,75,1,75,行動支付,
ORD-25101,2026-06-16,竹北高鐵店,新竹,拿鐵,咖啡,110,1,110,行動支付,
ORD-16439,2026-03-12,高雄夢時代店,高雄,抹茶拿鐵,非咖啡飲品,120,1,120,信用卡,
ORD-11323,2026-01-15,公館店,台北,美式咖啡,咖啡,75,1,75,現金,M0347
ORD-19132,2026-04-11,信義旗艦店,台北,拿鐵,咖啡,110,2,220,行動支付,M0345
ORD-18456,2026-04-03,竹北高鐵店,新竹,可頌,甜點,65,1,65,行動支付,M0432
ORD-16481,2026-03-13,板橋車站店,新北,肉桂捲,甜點,85,1,85,信用卡,
ORD-23847,2026-06-02,公館店,台北,美式咖啡,咖啡,75,1,75,現金,
ORD-19186,2026-04-11,竹北高鐵店,新竹,拿鐵,咖啡,110,1,110,行動支付,
ORD-25259,2026-06-18,竹北高鐵店,新竹,焦糖瑪奇朵,咖啡,130,1,130,現金,
ORD-11029,2026-01-11,高雄夢時代店,高雄,美式咖啡,咖啡,75,1,75,現金,
ORD-17553,2026-03-24,高雄夢時代店,高雄,拿鐵,咖啡,110,1,110,行動支付,
ORD-20380,2026-04-24,高雄夢時代店,高雄,拿鐵,咖啡,110,2,220,信用卡,M0106
ORD-14703,2026-02-21,竹北高鐵店,新竹,抹茶拿鐵,非咖啡飲品,120,2,240,LINE Pay,
ORD-24436,2026-06-08,高雄夢時代店,高雄,巴斯克起司蛋糕,甜點,120,1,120,LINE Pay,
ORD-17109,2026-03-20,信義旗艦店,台北,蜂蜜柚子茶,非咖啡飲品,95,1,95,信用卡,
ORD-15742,2026-03-04,台中西屯店,台中,焦糖瑪奇朵,咖啡,130,2,260,行動支付,M0300
ORD-11932,2026-01-22,公館店,台北,焦糖瑪奇朵,咖啡,130,1,130,行動支付,
ORD-15170,2026-02-27,信義旗艦店,台北,巴斯克起司蛋糕,甜點,120,1,120,行動支付,
ORD-18530,2026-04-04,板橋車站店,新北,拿鐵,咖啡,110,3,330,行動支付,
ORD-17505,2026-03-24,板橋車站店,新北,美式咖啡,咖啡,75,1,75,行動支付,M0141
ORD-21936,2026-05-11,高雄夢時代店,高雄,焦糖瑪奇朵,咖啡,130,2,260,LINE Pay,
ORD-10789,2026-01-09,台中西屯店,台中,肉桂捲,甜點,85,1,85,信用卡,
ORD-16774,2026-03-16,公館店,台北,肉桂捲,甜點,85,1,85,行動支付,
ORD-19922,2026-04-19,台中西屯店,台中,抹茶拿鐵,非咖啡飲品,120,3,360,現金,
ORD-13091,2026-02-03,板橋車站店,新北,可頌,甜點,65,1,65,現金,M0291
ORD-12052,2026-01-23,台中西屯店,台中,肉桂捲,甜點,85,1,85,現金,M0475
ORD-13745,2026-02-10,高雄夢時代店,高雄,抹茶拿鐵,非咖啡飲品,120,1,120,現金,
ORD-13791,2026-02-11,板橋車站店,新北,肉桂捲,甜點,85,1,85,信用卡,
ORD-18509,2026-04-04,公館店,臺北,焦糖瑪奇朵,咖啡,130,2,260,行動支付,M0378
ORD-25307,2026-06-19,信義旗艦店,台北,焦糖瑪奇朵,咖啡,130,3,390,行動支付,
ORD-13894,2026-02-12,台中西屯店,台中,蜂蜜柚子茶,非咖啡飲品,95,3,285,行動支付,M0168
ORD-20060,2026-04-21,信義旗艦店,台北,拿鐵,咖啡,110,2,220,現金,
ORD-18040,2026-03-29,高雄夢時代店,高雄,拿鐵,咖啡,110,2,220,LINE Pay,M0268
ORD-15921,2026-03-07,信義旗艦店,臺北,肉桂捲,甜點,85,1,85,現金,
